text,label
How do I register for the Romanian language test,registration_help
How do I apply for the test,registration_help
How do I sign up for onsite testing,registration_help
Where do I send my registration email,registration_help
Which email address should I use for registration,registration_help
What should I include in the registration email,registration_help
What documents do I need for registration,registration_help
What documents do I have to attach,registration_help
What must be included in the PDF,registration_help
Do I have to send everything in one PDF file,registration_help
Should the passport and birth certificate be in the same PDF,registration_help
Do I need to attach a passport copy,registration_help
Do I need to attach my birth certificate,registration_help
Do I need a legalized translation of the birth certificate,registration_help
When do I need to attach a marriage certificate,registration_help
Do I need a name change document,registration_help
What if the name in my documents is different,registration_help
What personal data should I include in the request,registration_help
Do I need to mention my full name and date of birth,registration_help
Do I need to mention my place of birth,registration_help
Do I need to include my email address in the request,registration_help
Do I need to write the requested level in the email,registration_help
Do I need to mention the desired testing period,registration_help
Do I need to include the reason for the request,registration_help
Do I need to attach the data processing agreement,registration_help
Where can I find the data processing agreement,registration_help
Is the GDPR agreement required for registration,registration_help
What exactly do I send in the email to the office,registration_help
How do I prepare the registration request step by step,registration_help
Can you explain the normal registration procedure,registration_help
How do I know if my registration was accepted,registration_help
Will I receive a confirmation email,registration_help
When will I know the test date,registration_help
Who sets the test date,registration_help
Is the date chosen by the faculty,registration_help
How often are the Romanian tests organized,registration_help
What happens after I send the application email,registration_help
What do I bring on exam day,registration_help
Do I need the original documents on the exam day,registration_help
I need help completing the registration process,registration_help
What is the exam fee,payment_help
How much does the Romanian language test cost,payment_help
How much do EU candidates pay,payment_help
How much do EEA candidates pay,payment_help
How much do Romanian citizens pay,payment_help
How much do non EU candidates pay,payment_help
Do non EU candidates pay 600 lei,payment_help
How much do UAIC students pay,payment_help
Is there a reduced fee for UAIC students,payment_help
How much do UAIC employees pay,payment_help
Are there reduced fees for the UAIC community,payment_help
What are the fee categories,payment_help
Can you calculate the fee based on my status,payment_help
I am a non EU student how much do I pay,payment_help
I am an EU citizen how much do I pay,payment_help
I am Romanian and not a student how much do I pay,payment_help
I am a UAIC student is my fee 150 lei,payment_help
I am a UAIC employee is my fee 200 lei,payment_help
Can a student from another university pay 150 lei,payment_help
Is the 150 lei fee only for enrolled UAIC students,payment_help
When am I supposed to pay the fee,payment_help
Do I pay before approval or after approval,payment_help
Can I pay before receiving confirmation,payment_help
Do I only pay after registration is approved,payment_help
Where do I pay the tax,payment_help
Do I need to pay at BRD,payment_help
Can I pay physically at any BRD branch,payment_help
What bank account do I use for payment,payment_help
What should I write on the payment slip,payment_help
What is tax code 40,payment_help
Do I need to include my full name in the payment details,payment_help
Is online payment possible,payment_help
Can I pay online instead of at BRD,payment_help
Is online payment allowed only in exceptional situations,payment_help
What platform is used for online payment,payment_help
Why does the payment page show 100 by default,payment_help
Should I replace 100 with 300 or 600,payment_help
How do I fill in the online payment form correctly,payment_help
What should I write in the payment form fields,payment_help
Which faculty should I choose on the payment page,payment_help
Which tax option should I choose on the payment page,payment_help
When do I email the proof of payment,payment_help
Do I send the receipt at least three days before the test,payment_help
I want to request online testing in exceptional conditions,request_form
How can I apply for the online Romanian test,request_form
When is online testing allowed,request_form
Is online testing available only in exceptional situations,request_form
What does exceptional conditions mean for online testing,request_form
What does the instruction about online testing mean,request_form
I do not understand the online testing instructions,request_form
Can you explain the online testing procedure in English,request_form
What do I need to request the online version of the test,request_form
Do I need a separate form for online testing,request_form
Which form do I complete for online testing,request_form
Can you help me understand the fields in the request form,request_form
I opened the online request form and I do not understand the questions,request_form
Can you explain the request form field by field,request_form
What should I write in the request form,request_form
How do I complete the request form for online testing,request_form
Do I need to complete the April 2026 request form,request_form
What does this Office form ask me for,request_form
Can you translate the request form into English,request_form
What information is required in the request form,request_form
What should I answer in the request form,request_form
Do I need to explain my reason for asking for online testing,request_form
What kind of motivation should I write in the request form,request_form
What are supporting documents for an online request,request_form
What does documente justificative mean,request_form
What documents can justify an online testing request,request_form
Do I need proof for exceptional conditions,request_form
Who approves the online testing request,request_form
Can the faculty reject my online testing request,request_form
How is the online testing date decided,request_form
Will the faculty email me the decision for online testing,request_form
If my online request is approved what happens next,request_form
Can you explain the request form step by step,request_form
I need help with the request form not the payment form,request_form
This is about the request form and its questions,request_form
I need help filling the exceptional online testing request form,request_form
What is the contact email,official_contact
What is the official email address,official_contact
Who is the contact person,official_contact
Who handles these Romanian tests,official_contact
Who should I contact for more details,official_contact
What email should I use for questions,official_contact
Where do I send questions about the test,official_contact
What is the email of Andrian Macari,official_contact
Can I have the contact details for the office,official_contact
What is the phone number for the office,official_contact
Can I call the office,official_contact
Is there a telephone number for the Romanian testing office,official_contact
What is the address of the office,official_contact
Where is the office located,official_contact
Can I visit in person,official_contact
Where is Corp G,official_contact
What are the contact details for LRLS,official_contact
How do I contact the Romanian language office,official_contact
Can you help me write an email to the contact person,official_contact
Can you draft an email asking for information,official_contact
Can you help me formulate a polite email to the secretary,official_contact
Can you make an email template for registration,official_contact
Can you make an email template for asking questions,official_contact
I want to write to Andrian Macari but I do not know how,official_contact
Please help me write a formal email in English,official_contact
Please help me write a polite email in Romanian,official_contact
Can you give me a short email template for requesting information,official_contact
Can you help me phrase an email asking about my case,official_contact
Who do I email if I need clarification,official_contact
How do I contact the faculty about this procedure,official_contact
Can you show me how to write the message to the office,official_contact
I need the office location and contact data,official_contact
I need both the email and phone number,official_contact
Can you tell me who to contact and how to phrase the email,official_contact
What is the contact email,official_contact
What is the official contact email,official_contact
What email address should I contact,official_contact
Which email should I write to,official_contact
Which email address should I use for questions,official_contact
Who should I contact for this procedure,official_contact
Who is the correct contact person,official_contact
Who handles the Romanian language testing requests,official_contact
Who is responsible for these Romanian tests,official_contact
Can you give me the contact person's email,official_contact
I need the email of the person in charge,official_contact
What is the name of the contact person,official_contact
Can you tell me who I should email,official_contact
What is the office phone number,official_contact
Can you give me the contact phone number,official_contact
Is there a phone number I can call,official_contact
I need the office address,official_contact
Where is the office located exactly,official_contact
Can you give me the office location,official_contact
How can I contact the office directly,official_contact
I need the official contact details,official_contact
Can you give me the email and phone number,official_contact
Who do I write to if I have questions,official_contact
Who do I contact if I need clarification,official_contact
Can you help me write an email to ask for more information,official_contact
Can you write a polite email for me to send to the office,official_contact
Can you give me an email template for contacting the secretary,official_contact
Help me draft a formal email to the contact person,official_contact
I want to send an email but I do not know how to phrase it,official_contact
Can you help me formulate a message to the office,official_contact
